code,name,category_name,brand_name,model,serial_number,description,condition
AST00001,"Netgear Peripherals Advanced",Peripherals,Netgear,"Advanced 3896",SN00000001,"Professional grade - Unit 1",damage
AST00002,"Samsung Audio Lite",Audio,Samsung,"Lite 8743",SN00000002,"Desktop unit - Unit 2",damage
AST00003,"Microsoft Projectors Standard",Projectors,Microsoft,"Standard 2526",SN00000003,"Desktop unit - Unit 3",good
AST00004,"Netgear Networking Advanced",Networking,Netgear,"Advanced 8925",SN00000004,"Compact model - Unit 4",good
AST00005,"Netgear Projectors Standard",Projectors,Netgear,"Standard 3680",SN00000005,"Portable device - Unit 5",damage
AST00006,"Microsoft Storage Basic",Storage,Microsoft,"Basic 3326",SN00000006,"Compact model - Unit 6",damage
AST00007,"Microsoft Printers Premium",Printers,Microsoft,"Premium 3147",SN00000007,"Reliable office equipment - Unit 7",damage
AST00008,"Microsoft Computers Premium",Computers,Microsoft,"Premium 5127",SN00000008,"Industrial equipment - Unit 8",damage
AST00009,"HP Peripherals Pro",Peripherals,HP,"Pro 8060",SN00000009,"High-performance device - Unit 9",good
AST00010,"Netgear Monitors Standard",Monitors,Netgear,"Standard 8402",SN00000010,"Enterprise solution - Unit 10",damage
AST00011,"Canon Printers Ultra",Printers,Canon,"Ultra 6494",SN00000011,"Enterprise solution - Unit 11",good
AST00012,"HP Networking Lite",Networking,HP,"Lite 2091",SN00000012,"Budget friendly - Unit 12",damage
AST00013,"Samsung Storage Max",Storage,Samsung,"Max 6407",SN00000013,"Budget friendly - Unit 13",good
AST00014,"Corsair Peripherals Pro",Peripherals,Corsair,"Pro 9751",SN00000014,"Enterprise solution - Unit 14",good
AST00015,"Logitech Computers Standard",Computers,Logitech,"Standard 5108",SN00000015,"Enterprise solution - Unit 15",damage
AST00016,"Logitech Monitors Max",Monitors,Logitech,"Max 6009",SN00000016,"Desktop unit - Unit 16",damage
AST00017,"Microsoft Monitors Ultra",Monitors,Microsoft,"Ultra 9808",SN00000017,"High-performance device - Unit 17",good
AST00018,"ASUS Computers Basic",Computers,ASUS,"Basic 3354",SN00000018,"Budget friendly - Unit 18",good
AST00019,"Corsair Cameras Plus",Cameras,Corsair,"Plus 9313",SN00000019,"Enterprise solution - Unit 19",damage
AST00020,"Lenovo Networking Pro",Networking,Lenovo,"Pro 8606",SN00000020,"Consumer grade - Unit 20",damage
AST00021,"Acer Audio Basic",Audio,Acer,"Basic 3012",SN00000021,"High-performance device - Unit 21",damage
AST00022,"Logitech Accessories Premium",Accessories,Logitech,"Premium 4584",SN00000022,"Enterprise solution - Unit 22",good
AST00023,"LG Computers Advanced",Computers,LG,"Advanced 8416",SN00000023,"Consumer grade - Unit 23",good
AST00024,"Apple Audio Plus",Audio,Apple,"Plus 1141",SN00000024,"Desktop unit - Unit 24",damage
AST00025,"Epson Accessories Plus",Accessories,Epson,"Plus 2177",SN00000025,"Industrial equipment - Unit 25",good
AST00026,"Lenovo Projectors Deluxe",Projectors,Lenovo,"Deluxe 9351",SN00000026,"Reliable office equipment - Unit 26",damage
AST00027,"Epson Accessories Max",Accessories,Epson,"Max 9053",SN00000027,"Professional grade - Unit 27",damage
AST00028,"Samsung Computers Standard",Computers,Samsung,"Standard 6444",SN00000028,"High-performance device - Unit 28",damage
AST00029,"Samsung Cameras Deluxe",Cameras,Samsung,"Deluxe 8625",SN00000029,"Desktop unit - Unit 29",good
AST00030,"Canon Computers Lite",Computers,Canon,"Lite 3570",SN00000030,"Industrial equipment - Unit 30",damage
AST00031,"HP Networking Basic",Networking,HP,"Basic 5733",SN00000031,"Consumer grade - Unit 31",good
AST00032,"ASUS Accessories Pro",Accessories,ASUS,"Pro 8143",SN00000032,"Portable device - Unit 32",good
AST00033,"LG Audio Basic",Audio,LG,"Basic 6273",SN00000033,"Consumer grade - Unit 33",damage
AST00034,"LG Projectors Plus",Projectors,LG,"Plus 6442",SN00000034,"High-performance device - Unit 34",damage
AST00035,"Lenovo Networking Basic",Networking,Lenovo,"Basic 6751",SN00000035,"Industrial equipment - Unit 35",good
AST00036,"Apple Audio Max",Audio,Apple,"Max 7807",SN00000036,"Professional grade - Unit 36",damage
AST00037,"Razer Audio Advanced",Audio,Razer,"Advanced 3860",SN00000037,"Reliable office equipment - Unit 37",good
AST00038,"Dell Projectors Lite",Projectors,Dell,"Lite 8407",SN00000038,"Portable device - Unit 38",good
AST00039,"Lenovo Printers Deluxe",Printers,Lenovo,"Deluxe 5023",SN00000039,"High-performance device - Unit 39",damage
AST00040,"ASUS Printers Pro",Printers,ASUS,"Pro 9356",SN00000040,"Desktop unit - Unit 40",good
AST00041,"Microsoft Projectors Deluxe",Projectors,Microsoft,"Deluxe 2418",SN00000041,"Professional grade - Unit 41",good
AST00042,"Netgear Peripherals Advanced",Peripherals,Netgear,"Advanced 5073",SN00000042,"Desktop unit - Unit 42",damage
AST00043,"Epson Computers Pro",Computers,Epson,"Pro 5821",SN00000043,"Professional grade - Unit 43",damage
AST00044,"LG Storage Basic",Storage,LG,"Basic 4049",SN00000044,"Enterprise solution - Unit 44",damage
AST00045,"Razer Storage Pro",Storage,Razer,"Pro 8403",SN00000045,"Reliable office equipment - Unit 45",good
AST00046,"Samsung Cameras Basic",Cameras,Samsung,"Basic 1388",SN00000046,"Budget friendly - Unit 46",damage
AST00047,"Razer Peripherals Basic",Peripherals,Razer,"Basic 5534",SN00000047,"Professional grade - Unit 47",good
AST00048,"Lenovo Accessories Ultra",Accessories,Lenovo,"Ultra 2008",SN00000048,"Compact model - Unit 48",good
AST00049,"Canon Cameras Max",Cameras,Canon,"Max 7496",SN00000049,"Portable device - Unit 49",damage
AST00050,"Lenovo Monitors Premium",Monitors,Lenovo,"Premium 9043",SN00000050,"Industrial equipment - Unit 50",good
AST00051,"ASUS Networking Standard",Networking,ASUS,"Standard 9182",SN00000051,"High-performance device - Unit 51",damage
AST00052,"ASUS Cameras Ultra",Cameras,ASUS,"Ultra 8651",SN00000052,"Desktop unit - Unit 52",damage
AST00053,"Microsoft Monitors Basic",Monitors,Microsoft,"Basic 5791",SN00000053,"Portable device - Unit 53",damage
AST00054,"Microsoft Accessories Pro",Accessories,Microsoft,"Pro 1016",SN00000054,"Budget friendly - Unit 54",damage
AST00055,"Samsung Storage Deluxe",Storage,Samsung,"Deluxe 6488",SN00000055,"Budget friendly - Unit 55",good
AST00056,"Microsoft Storage Pro",Storage,Microsoft,"Pro 1453",SN00000056,"Reliable office equipment - Unit 56",damage
AST00057,"Samsung Monitors Lite",Monitors,Samsung,"Lite 1510",SN00000057,"Industrial equipment - Unit 57",good
AST00058,"Dell Audio Advanced",Audio,Dell,"Advanced 3529",SN00000058,"Portable device - Unit 58",damage
AST00059,"Razer Storage Standard",Storage,Razer,"Standard 8810",SN00000059,"Industrial equipment - Unit 59",damage
AST00060,"ASUS Accessories Standard",Accessories,ASUS,"Standard 5924",SN00000060,"Reliable office equipment - Unit 60",damage
AST00061,"Netgear Cameras Pro",Cameras,Netgear,"Pro 9510",SN00000061,"Portable device - Unit 61",good
AST00062,"Dell Computers Pro",Computers,Dell,"Pro 2140",SN00000062,"Portable device - Unit 62",damage
AST00063,"Microsoft Networking Premium",Networking,Microsoft,"Premium 7955",SN00000063,"Enterprise solution - Unit 63",good
AST00064,"Microsoft Networking Max",Networking,Microsoft,"Max 9352",SN00000064,"Desktop unit - Unit 64",good
AST00065,"Dell Cameras Ultra",Cameras,Dell,"Ultra 8236",SN00000065,"Budget friendly - Unit 65",damage
AST00066,"Corsair Peripherals Standard",Peripherals,Corsair,"Standard 3611",SN00000066,"Industrial equipment - Unit 66",damage
AST00067,"Canon Audio Standard",Audio,Canon,"Standard 5038",SN00000067,"Industrial equipment - Unit 67",damage
AST00068,"Corsair Projectors Pro",Projectors,Corsair,"Pro 9312",SN00000068,"Compact model - Unit 68",good
AST00069,"HP Peripherals Max",Peripherals,HP,"Max 2204",SN00000069,"Consumer grade - Unit 69",good
AST00070,"Dell Printers Premium",Printers,Dell,"Premium 2795",SN00000070,"Portable device - Unit 70",good
AST00071,"LG Printers Basic",Printers,LG,"Basic 9648",SN00000071,"Professional grade - Unit 71",good
AST00072,"Apple Storage Ultra",Storage,Apple,"Ultra 4238",SN00000072,"Desktop unit - Unit 72",damage
AST00073,"Microsoft Accessories Ultra",Accessories,Microsoft,"Ultra 6716",SN00000073,"Consumer grade - Unit 73",damage
AST00074,"Acer Audio Standard",Audio,Acer,"Standard 4072",SN00000074,"Compact model - Unit 74",damage
AST00075,"Microsoft Monitors Premium",Monitors,Microsoft,"Premium 3909",SN00000075,"High-performance device - Unit 75",good
AST00076,"Canon Printers Pro",Printers,Canon,"Pro 5001",SN00000076,"Professional grade - Unit 76",damage
AST00077,"Canon Projectors Standard",Projectors,Canon,"Standard 9398",SN00000077,"Desktop unit - Unit 77",damage
AST00078,"HP Accessories Pro",Accessories,HP,"Pro 1560",SN00000078,"High-performance device - Unit 78",damage
AST00079,"LG Cameras Premium",Cameras,LG,"Premium 7135",SN00000079,"Reliable office equipment - Unit 79",good
AST00080,"Logitech Computers Deluxe",Computers,Logitech,"Deluxe 4269",SN00000080,"Portable device - Unit 80",damage
AST00081,"Razer Projectors Premium",Projectors,Razer,"Premium 5431",SN00000081,"Portable device - Unit 81",damage
AST00082,"HP Computers Max",Computers,HP,"Max 1815",SN00000082,"Compact model - Unit 82",damage
AST00083,"ASUS Projectors Plus",Projectors,ASUS,"Plus 8288",SN00000083,"Consumer grade - Unit 83",damage
